#,Browser,Page,Field,isPresent,Value,Size,Location
01,Chrome,index.php,First Name,true,John,(386x40),(554x182)
02,Chrome,index.php,Last Name,true,Smith,(386x40),(979x182)
03,Chrome,index.php,Email,true,john_smith@gmail.com,(386x40),(554x262)
04,Chrome,index.php,Phone,true,415 555-1212,(386x40),(979x262)
05,Chrome,index.php,Gender,true,Male,(19x20),(566x357)
06,Chrome,index.php,State,true,null,(340x33),(979x347)
07,Chrome,index.php,Terms,true,Agreed,(19x20),(554x424)
08,Chrome,confirmation.php,First Name,true,John,(66x40),(561x182)
09,Chrome,confirmation.php,Last Name,true,Smith,(76x40),(986x182)
10,Chrome,confirmation.php,Email,true,john_smith@gmail.com,(281x40),(561x266)
11,Chrome,confirmation.php,Phone,true,415 555-1212,(170x40),(986x266)
12,Chrome,confirmation.php,Gender,true,Male,(66x40),(561x350)
13,Chrome,confirmation.php,State,true,California,(120x40),(986x350)
14,Chrome,confirmation.php,Terms,true,Agreed,(94x40),(561x434)
