#,Browser,Page,Field,isPresent,Value,Size,Location
01,Firefox,index.php,First Name,true,John,(343x37),(560x183)
02,Firefox,index.php,Last Name,true,Smith,(343x37),(985x183)
03,Firefox,index.php,Email,true,john_smith@gmail.com,(343x37),(560x263)
04,Firefox,index.php,Phone,true,415 555-1212,(343x37),(985x263)
05,Firefox,index.php,Gender,true,Male,(19x20),(571x357)
06,Firefox,index.php,State,true,null,(344x39),(985x344)
07,Firefox,index.php,Terms,true,Agreed,(19x20),(560x424)
08,Firefox,confirmation.php,First Name,true,John,(66x37),(561x183)
09,Firefox,confirmation.php,Last Name,true,Smith,(76x37),(986x183)
10,Firefox,confirmation.php,Email,true,john_smith@gmail.com,(280x37),(561x267)
11,Firefox,confirmation.php,Phone,true,415 555-1212,(170x37),(986x267)
12,Firefox,confirmation.php,Gender,true,Male,(66x37),(561x351)
13,Firefox,confirmation.php,State,true,California,(119x37),(986x351)
14,Firefox,confirmation.php,Terms,true,Agreed,(93x37),(561x435)
