#,Browser,Page,Field,isPresent,Value,Size,Location
01,Safari,index.php,First Name,true,John,(386x40),(0x0)
02,Safari,index.php,Last Name,true,Smith,(386x40),(0x0)
03,Safari,index.php,Email,true,john_smith@gmail.com,(386x40),(0x0)
04,Safari,index.php,Phone,true,415 555-1212,(386x40),(0x0)
05,Safari,index.php,Gender,true,Male,(19x20),(0x0)
06,Safari,index.php,State,true,null,(348x33),(0x0)
07,Safari,index.php,Terms,true,Agreed,(19x20),(0x0)
08,Safari,confirmation.php,First Name,true,John,(66x40),(0x0)
09,Safari,confirmation.php,Last Name,true,Smith,(76x40),(0x0)
10,Safari,confirmation.php,Email,true,john_smith@gmail.com,(281x40),(0x0)
11,Safari,confirmation.php,Phone,true,415 555-1212,(170x40),(0x0)
12,Safari,confirmation.php,Gender,true,Male,(66x40),(0x0)
13,Safari,confirmation.php,State,true,California,(120x40),(0x0)
14,Safari,confirmation.php,Terms,true,Agreed,(94x40),(0x0)
